epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,5959.32,0.81024,0.45732,0.99704,0.99021,0.96789,0.98926,0.78349,0.78647,0.40296,0.93518,0.0006997,0.0006997,0.0006997
93,6025,0.82071,0.45919,0.99095,0.99096,0.97477,0.99256,0.79113,0.78393,0.39395,0.92854,0.0006964,0.0006964,0.0006964
94,6090.31,0.82981,0.46873,0.998,0.99286,0.95676,0.99204,0.79039,0.78443,0.40819,0.93431,0.0006931,0.0006931,0.0006931
95,6153.29,0.81094,0.46334,0.99632,0.98702,0.9633,0.9925,0.78176,0.79155,0.41176,0.93552,0.0006898,0.0006898,0.0006898
96,6217.22,0.81611,0.45699,0.99298,0.99291,0.96344,0.9908,0.7885,0.77442,0.39689,0.93302,0.0006865,0.0006865,0.0006865
97,6282.45,0.81089,0.4674,1.00135,0.98478,0.97248,0.99339,0.79987,0.79919,0.4011,0.93631,0.0006832,0.0006832,0.0006832
98,6344.24,0.80322,0.45891,0.99046,0.99394,0.9656,0.99091,0.78606,0.79637,0.40571,0.93919,0.0006799,0.0006799,0.0006799
99,6408.02,0.82496,0.45877,1.00458,0.99205,0.97706,0.99097,0.78896,0.77841,0.39267,0.92827,0.0006766,0.0006766,0.0006766
100,6471.71,0.8083,0.45309,0.98593,0.99437,0.97018,0.99041,0.78683,0.79068,0.40597,0.93856,0.0006733,0.0006733,0.0006733
101,6536.38,0.7828,0.44011,0.97976,0.99533,0.97676,0.99244,0.79401,0.77986,0.38531,0.93096,0.00067,0.00067,0.00067
102,6599.68,0.81271,0.44691,0.98536,0.99206,0.97248,0.98991,0.8016,0.77865,0.40062,0.93158,0.0006667,0.0006667,0.0006667
103,6663.76,0.79626,0.43573,0.99028,0.99298,0.97388,0.99263,0.79584,0.79098,0.38973,0.93226,0.0006634,0.0006634,0.0006634
104,6727.92,0.80972,0.45447,0.98621,0.98839,0.97477,0.99199,0.79997,0.77938,0.38956,0.92644,0.0006601,0.0006601,0.0006601
105,6790.54,0.79705,0.44773,0.98707,0.99065,0.97225,0.99306,0.79607,0.78549,0.38358,0.93197,0.0006568,0.0006568,0.0006568
106,6854.97,0.78947,0.44253,0.97911,0.99002,0.97706,0.9922,0.78348,0.84075,0.4004,0.95844,0.0006535,0.0006535,0.0006535
107,6918.3,0.79685,0.45177,0.98677,0.99708,0.97706,0.99072,0.79649,0.77429,0.38656,0.92709,0.0006502,0.0006502,0.0006502
108,6981.18,0.80823,0.44915,0.9933,0.99353,0.97706,0.99409,0.80208,0.7562,0.37949,0.91627,0.0006469,0.0006469,0.0006469
109,7045.55,0.79184,0.43803,0.99316,0.99065,0.97183,0.99143,0.80518,0.74273,0.38405,0.91433,0.0006436,0.0006436,0.0006436
110,7110.4,0.79414,0.44149,0.98599,0.99709,0.97018,0.99013,0.80058,0.75945,0.38312,0.92073,0.0006403,0.0006403,0.0006403
111,7174.59,0.78812,0.44403,0.96939,0.99327,0.97018,0.98945,0.79239,0.79108,0.39167,0.93914,0.000637,0.000637,0.000637
112,7238.04,0.80314,0.45213,0.98887,0.99748,0.97248,0.99059,0.80503,0.77184,0.38911,0.9266,0.0006337,0.0006337,0.0006337
113,7301.53,0.79012,0.43469,0.97319,0.98836,0.97359,0.9895,0.7631,0.84792,0.39524,0.96288,0.0006304,0.0006304,0.0006304
114,7364.79,0.79898,0.44886,0.98678,0.99995,0.97018,0.99218,0.79645,0.78122,0.38335,0.92726,0.0006271,0.0006271,0.0006271
115,7429.47,0.79516,0.44053,0.99102,0.99302,0.9787,0.99145,0.79094,0.79421,0.38937,0.93521,0.0006238,0.0006238,0.0006238
116,7494.29,0.78886,0.43254,0.97334,0.99708,0.9656,0.99066,0.78854,0.81992,0.39928,0.944,0.0006205,0.0006205,0.0006205
117,7558.62,0.78272,0.43643,0.98272,0.99741,0.97477,0.99193,0.79339,0.79884,0.39509,0.93347,0.0006172,0.0006172,0.0006172
118,7623.48,0.77729,0.43823,0.98217,0.99447,0.97248,0.99052,0.79979,0.77057,0.3813,0.92286,0.0006139,0.0006139,0.0006139
119,7690.2,0.787,0.43615,0.97948,0.98856,0.97477,0.99334,0.81106,0.75693,0.37521,0.92012,0.0006106,0.0006106,0.0006106
120,7756.84,0.78678,0.43483,0.98519,1,0.96044,0.99129,0.79665,0.76505,0.38751,0.92694,0.0006073,0.0006073,0.0006073
121,7825.04,0.78208,0.43215,0.97899,0.99387,0.96789,0.99276,0.81637,0.74908,0.38968,0.91425,0.000604,0.000604,0.000604
122,7891.6,0.7794,0.436,0.9763,0.98326,0.97936,0.99398,0.80408,0.7764,0.37451,0.92545,0.0006007,0.0006007,0.0006007
123,7958.71,0.78842,0.43951,0.98222,0.9941,0.97248,0.99291,0.80284,0.77237,0.38356,0.92221,0.0005974,0.0005974,0.0005974
124,8025.79,0.78466,0.43432,0.98052,0.99895,0.97248,0.99335,0.80757,0.75734,0.37674,0.91707,0.0005941,0.0005941,0.0005941
125,8092.77,0.78194,0.43394,0.97521,0.99531,0.97385,0.99086,0.81098,0.74757,0.37466,0.91433,0.0005908,0.0005908,0.0005908
126,8162.65,0.76811,0.42233,0.97321,0.99547,0.9656,0.99129,0.80371,0.74781,0.37945,0.91402,0.0005875,0.0005875,0.0005875
127,8229.51,0.77587,0.42232,0.97414,0.99257,0.96789,0.99124,0.79985,0.77282,0.38941,0.92223,0.0005842,0.0005842,0.0005842
128,8295.5,0.78905,0.42987,0.9778,0.98832,0.97068,0.99273,0.8088,0.75766,0.38702,0.9193,0.0005809,0.0005809,0.0005809
129,8363.28,0.79628,0.43888,0.98661,0.9939,0.97248,0.9919,0.80018,0.76141,0.37959,0.92369,0.0005776,0.0005776,0.0005776
130,8431.47,0.76267,0.41998,0.97052,0.99216,0.96789,0.99166,0.80627,0.7438,0.37783,0.91534,0.0005743,0.0005743,0.0005743
131,8499.01,0.77413,0.42733,0.98116,0.99531,0.97299,0.99213,0.78832,0.78965,0.38373,0.93058,0.000571,0.000571,0.000571
132,8565.62,0.78509,0.43994,0.97378,0.99627,0.97018,0.99205,0.79829,0.77191,0.38002,0.92306,0.0005677,0.0005677,0.0005677
133,8631.89,0.77305,0.43339,0.97303,0.99931,0.96789,0.98819,0.80251,0.77253,0.37196,0.92459,0.0005644,0.0005644,0.0005644
134,8697.97,0.78228,0.42267,0.97065,0.99969,0.96789,0.99014,0.79677,0.78408,0.38112,0.92777,0.0005611,0.0005611,0.0005611
135,8762.91,0.76185,0.41689,0.97065,0.98837,0.97465,0.99083,0.80878,0.77494,0.3826,0.92444,0.0005578,0.0005578,0.0005578
136,8831.2,0.7648,0.41416,0.9673,0.99562,0.97248,0.99034,0.79483,0.77541,0.38002,0.92512,0.0005545,0.0005545,0.0005545
137,8896.93,0.76374,0.42582,0.96934,0.99367,0.96789,0.99044,0.80462,0.75711,0.376,0.92059,0.0005512,0.0005512,0.0005512
138,8963.36,0.76505,0.41772,0.96666,0.98837,0.97449,0.98985,0.79298,0.76235,0.38462,0.92029,0.0005479,0.0005479,0.0005479
139,9028.35,0.77138,0.43145,0.96459,0.99064,0.97102,0.98881,0.79753,0.76826,0.38184,0.92239,0.0005446,0.0005446,0.0005446
140,9094.54,0.77327,0.42501,0.96937,0.99162,0.97018,0.99346,0.79705,0.76044,0.37047,0.92076,0.0005413,0.0005413,0.0005413
141,9160.77,0.76955,0.42565,0.97011,0.99444,0.97477,0.99389,0.80278,0.76327,0.36923,0.91922,0.000538,0.000538,0.000538
142,9229.83,0.75761,0.41968,0.96492,0.98893,0.96789,0.99264,0.79942,0.762,0.37377,0.9211,0.0005347,0.0005347,0.0005347
143,9296.51,0.77128,0.42442,0.96691,0.99533,0.97681,0.99348,0.796,0.77621,0.36912,0.92284,0.0005314,0.0005314,0.0005314
144,9363.27,0.77709,0.41946,0.97179,0.99293,0.96642,0.99353,0.79862,0.78964,0.37137,0.93139,0.0005281,0.0005281,0.0005281
145,9432.02,0.75889,0.41518,0.95822,0.99302,0.97248,0.99178,0.80626,0.7485,0.36813,0.91662,0.0005248,0.0005248,0.0005248
146,9500.12,0.75405,0.42124,0.96092,0.99517,0.97936,0.99378,0.81053,0.75176,0.37074,0.91244,0.0005215,0.0005215,0.0005215
147,9564.63,0.75728,0.41866,0.96692,0.99186,0.97248,0.99297,0.80984,0.76463,0.37002,0.92018,0.0005182,0.0005182,0.0005182
148,9632.49,0.77559,0.42651,0.9766,0.993,0.97556,0.9937,0.80207,0.76571,0.36654,0.91585,0.0005149,0.0005149,0.0005149
149,9697.06,0.7535,0.41081,0.96599,0.99151,0.97248,0.99331,0.81362,0.7402,0.36897,0.90746,0.0005116,0.0005116,0.0005116
150,9763.42,0.76304,0.4171,0.96014,0.99615,0.97248,0.99348,0.80404,0.76513,0.36945,0.92153,0.0005083,0.0005083,0.0005083
151,9830.21,0.75667,0.4185,0.96361,0.993,0.97557,0.99313,0.80622,0.749,0.37123,0.91212,0.000505,0.000505,0.000505
