epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3989.14,0.7561,0.43311,0.87873,0.99508,0.97018,0.98875,0.75119,0.81206,0.40715,0.82255,0.000802,0.000802,0.000802
62,4051.59,0.75745,0.44056,0.87712,0.99068,0.9757,0.9932,0.76228,0.86024,0.42127,0.82488,0.0007987,0.0007987,0.0007987
63,4118.59,0.73146,0.42483,0.86811,0.98875,0.97018,0.99227,0.76489,0.79109,0.39767,0.81064,0.0007954,0.0007954,0.0007954
64,4184.35,0.74854,0.43175,0.87268,0.99243,0.96789,0.98681,0.77219,0.7879,0.41206,0.81461,0.0007921,0.0007921,0.0007921
65,4248.29,0.73978,0.41751,0.87145,0.99759,0.95046,0.98844,0.76926,0.78653,0.43757,0.81171,0.0007888,0.0007888,0.0007888
66,4311.58,0.73104,0.41531,0.86677,0.99504,0.96101,0.98787,0.75305,0.85406,0.42726,0.82752,0.0007855,0.0007855,0.0007855
67,4376.51,0.73309,0.42941,0.8688,0.99097,0.97477,0.99347,0.76178,0.80853,0.40958,0.81331,0.0007822,0.0007822,0.0007822
68,4441.71,0.73348,0.42211,0.86824,0.97765,0.97248,0.98373,0.77258,0.76239,0.40081,0.81221,0.0007789,0.0007789,0.0007789
69,4506.44,0.74243,0.41768,0.87156,0.98039,0.97018,0.98787,0.76397,0.7811,0.40016,0.8143,0.0007756,0.0007756,0.0007756
70,4569.84,0.71725,0.40527,0.86829,0.98842,0.97909,0.9906,0.78096,0.75233,0.38193,0.80633,0.0007723,0.0007723,0.0007723
71,4634.83,0.74634,0.42472,0.86592,0.9831,0.97477,0.99008,0.76639,0.77538,0.39186,0.8122,0.000769,0.000769,0.000769
72,4700.54,0.71642,0.41351,0.86877,0.99062,0.9656,0.99194,0.76712,0.80721,0.39103,0.82139,0.0007657,0.0007657,0.0007657
73,4763.62,0.71814,0.4094,0.86001,0.98608,0.97494,0.99325,0.77768,0.75668,0.39545,0.80923,0.0007624,0.0007624,0.0007624
74,4828.32,0.74966,0.41993,0.87303,0.99252,0.95642,0.99304,0.76576,0.78023,0.39692,0.81391,0.0007591,0.0007591,0.0007591
75,4892.17,0.7202,0.40226,0.8561,0.98603,0.97142,0.98809,0.78528,0.75218,0.38141,0.80886,0.0007558,0.0007558,0.0007558
76,4956.4,0.71269,0.40986,0.85879,0.9941,0.97248,0.99407,0.77666,0.78549,0.39338,0.81172,0.0007525,0.0007525,0.0007525
77,5020.74,0.71235,0.40209,0.86216,0.99467,0.9633,0.99399,0.76937,0.80613,0.40231,0.81581,0.0007492,0.0007492,0.0007492
78,5087.53,0.71695,0.40208,0.86057,0.99071,0.97803,0.99426,0.78263,0.77946,0.38365,0.8127,0.0007459,0.0007459,0.0007459
79,5151.32,0.71639,0.40434,0.86497,0.99704,0.9633,0.99412,0.78481,0.74404,0.38912,0.81099,0.0007426,0.0007426,0.0007426
80,5214.84,0.72488,0.40041,0.86715,0.98844,0.98097,0.99408,0.77956,0.76213,0.39795,0.81232,0.0007393,0.0007393,0.0007393
81,5280.82,0.71482,0.4007,0.86793,0.99294,0.97018,0.98738,0.78012,0.79466,0.39973,0.81044,0.000736,0.000736,0.000736
82,5345.84,0.71755,0.40115,0.86708,0.98543,0.96789,0.99331,0.78783,0.77537,0.39658,0.81263,0.0007327,0.0007327,0.0007327
83,5410.23,0.72457,0.40453,0.86582,0.98162,0.98007,0.99287,0.79442,0.73592,0.38716,0.80762,0.0007294,0.0007294,0.0007294
84,5475.42,0.72075,0.40962,0.86447,0.9798,0.97706,0.99295,0.79613,0.74532,0.38219,0.80729,0.0007261,0.0007261,0.0007261
85,5540.01,0.71197,0.40127,0.86282,0.98969,0.97936,0.99438,0.77817,0.78693,0.38378,0.81175,0.0007228,0.0007228,0.0007228
86,5606.25,0.73732,0.41352,0.86921,0.99765,0.97451,0.99409,0.78392,0.76037,0.37835,0.80805,0.0007195,0.0007195,0.0007195
87,5669.8,0.73122,0.39976,0.86632,0.99532,0.97584,0.99457,0.7813,0.80992,0.3974,0.81311,0.0007162,0.0007162,0.0007162
88,5733.64,0.71649,0.39621,0.86999,0.99092,0.97018,0.99231,0.77955,0.75077,0.37338,0.8056,0.0007129,0.0007129,0.0007129
89,5798.21,0.69351,0.3876,0.86058,0.99129,0.97018,0.99,0.78953,0.72832,0.37499,0.80287,0.0007096,0.0007096,0.0007096
90,5862.42,0.69956,0.39702,0.86118,0.99299,0.97527,0.99443,0.78598,0.75595,0.37928,0.80919,0.0007063,0.0007063,0.0007063
91,5926.5,0.71569,0.40213,0.85956,0.98607,0.97444,0.99353,0.79969,0.70555,0.38699,0.80057,0.000703,0.000703,0.000703
